#Generated by cif2cell 1.2.10 from COD reference: 1526458.  :  Ivanov, S.A. et al., Powder Diffraction 16, 227-230 (2001).

20 atoms
2 atom types

0.0 5.844400 xlo xhi
0.0 8.157400 ylo yhi
0.0 6.908266 zlo zhi
4.99496689968e-16 -2.92811704514 6.38733951511e-16 xy xz yz

Atoms

1 1   1.996353568180789   1.498514380000000   2.497338203039416 
2 1   0.919929386676164   6.658885620000001   4.410927918784695 
3 1   0.532295045609265   2.580185620000001   5.951471263951471 
4 1   2.383987909247688   5.577214380000000   0.956794857872640 
5 1  -2.038444010440034   0.347505240000001   5.362196163759875 
6 1   4.954726965296986   7.809894760000001   1.546069958064236 
7 1  -0.574385487868510   3.731194760000001   1.908063102847819 
8 1   3.490668442725462   4.426205240000001   5.000203018976292 
9 2   2.470333242265808   2.482296820000001   4.886907454578377 
10 2   0.445949712591145   5.675103180000001   2.021358667245735 
11 2   3.934391764837332   1.596403180000000   1.432774393666321 
12 2  -1.018108809980379   6.560996820000002   5.475491728157790 
13 2   0.071202636749960   0.230854420000000   3.527360681803391 
14 2   2.845080318106993   7.926545580000001   3.380905440020720 
15 2   1.535261159321484   3.847845580000000   0.073227620891336 
16 2   1.381021795535468   4.309554420000001   6.835038500932775 
17 2   1.001561951857804   0.389107980000000   0.878731450696027 
18 2   1.914721002999149   7.768292020000002   6.029534671128085 
19 2  -0.462496570713719   3.689592020000001   4.332864511608082 
20 2   3.378779525570672   4.467807980000000   2.575401610216029 
